id,customer_id,validation_type,total,processing_state,validations,capture_lat,capture_long,created_at,store_id,retailer_id,turk_submit_count,invalid_receipt,ref_number,appr_code,receipt_code,cashier,payment_trans_id,phone_data,verified_total,pending_acceptance_at,pending_credit_at,store_number,receipt_scan_content,fraud_type,
962404,4162,ocr,,invalid_receipt,ocr_unmatched,,,6/26/13 19:23,,1,,,,,,,,1.7.0:android:VS840 4G_4.0.4,,,,,,,
1521609,4162,turk,121.32,complete,turk_matched,,,9/8/13 3:47,2789,1,3,,0,,90 15 155 124,Jan D,,"1.8:ios:iPhone3,1_6.1.3",1,,,,,,
1927574,4162,turk,5.39,complete,turk_matched,,,10/18/13 18:32,116386,57,1,,,42614,,Ashley,,"2.0:ios:iPhone3,1_7.0",1,,,,,fraud,
8172736,4162,turk,10.33,complete,turk_matched,,,6/28/14 1:05,227080,115,2,,,,,,,"2.4.3:ios:iPhone6,1_7.1.1",1,,,,,,
8558039,4162,admin,11.71,complete,turk_unmatched,,,7/8/14 21:19,55614,28,5,,95000 89 045 2,8358,,O7,,"2.4.3:ios:iPhone6,1_7.1.1",1,,,,,,
8631339,4162,turk,57.6,complete,turk_matched,,,7/10/14 2:24,,99,1,,,,,,,"2.4.3:ios:iPhone6,1_7.1.1",1,,,,,,
9615734,4162,turk,65.23,complete,turk_matched,,,8/3/14 18:03,,99,2,,,,,,,"2.5.1:ios:iPhone6,1_7.1.2",1,,,,,,
10320949,4162,turk,89.06,complete,turk_matched,,,8/19/14 3:49,,1,1,,0,,,,,"2.5.1:ios:iPhone6,1_7.1.2",1,,,,,,
12309037,4162,turk,45.02,complete,turk_matched,,,10/6/14 14:30,,99,1,,,,,,,"3.0:ios:iPhone6,1_7.1.2",1,,,,,,
13686045,4162,admin,78.04,complete,turk_matched,,,11/5/14 4:00,177738,99,1,,,,,,,"3.1:ios:iPhone6,1_8.1",1,,,,,,
14121859,4162,turk,104.63,complete,turk_matched,,,11/14/14 13:54,12420,4,2,,431700036679,,,2377,,"3.1:ios:iPhone6,1_8.1",1,,,,,,
14485500,4162,turk,80.54,complete,turk_matched,,,11/20/14 19:32,177738,99,1,,,,,,,"3.1.1:ios:iPhone6,1_8.1",1,,,,,,
16587993,4162,turk,50.82,complete,turk_matched,,,12/24/14 23:06,,188,1,,,,,,,"3.1.2:ios:iPhone6,1_8.1.2",1,,,,,,
16986705,4162,turk,31.38,complete,turk_matched,,,1/1/15 1:49,,188,5,,,,,,,"3.2:ios:iPhone6,1_8.1.2",1,,,,,,
23129620,4162,turk,106.54,complete,turk_matched,,,3/29/15 16:44,177738,99,5,,,,,,,"3.4:ios:iPhone6,1_8.1.3",1,,,,,,
23708211,4162,tlog,87,complete,,,,4/5/15 11:30,,129,,,121752,,4/4/15 16:15,,,0.1:online:RetailerTransactionProcessor::LinkshareBase,1,7/3/15 0:00,4/19/15 11:30,,,,
24724329,4162,turk,47.46,complete,turk_matched,,,4/17/15 2:52,,2,1,,,,,,,"3.4:ios:iPhone6,1_8.1.3",1,,,,,,
21661223,5354610,turk,27.04,complete,turk_matched,,,3/9/15 23:56,22929,1,1,,,,,Rgan S,,"3.3:ios:iPhone6,1_7.1.1",1,,,,,,
23322944,5354610,turk,23.77,complete,turk_matched,,,4/1/15 4:40,,1,1,,,,40Pm 87,,,"3.3:ios:iPhone6,1_7.1.1",1,,,,,,
25206462,5354610,turk,51.29,complete,turk_matched,,,4/22/15 4:07,28872,2,1,,,,,,,"3.3:ios:iPhone6,1_7.1.1",1,,,1,,fraud,


id,product_number,price,discount,quantity,validation_type3,receipt_id,retailer_product_id,created_at4,matched_with_offer_at,matched_customer_offer_id,ext_price,status,
465155,36,,,,ocr,26256,,12/3/12 18:08,,,,,
465156,61,33.4,,,ocr,26256,,12/3/12 18:08,,,,,
465157,60,,,,ocr,26256,,12/3/12 18:08,,,,,
4823957,38,1,,,ocr,199006,,1/18/13 5:02,,,,,
4823958,83,1,,,ocr,199006,,1/18/13 5:02,,,,,
4823959,35,0.69,,,ocr,199006,,1/18/13 5:02,,,,,
4823960,57,1,,,ocr,199006,,1/18/13 5:02,,,,,
4823961,4,0,,,ocr,199006,,1/18/13 5:02,,,,,
4823962,89,59,,,ocr,199006,,1/18/13 5:02,,,,,
4823963,11,4.59,,,ocr,199006,,1/18/13 5:02,,,,,
4823964,27,3,,,ocr,199006,,1/18/13 5:02,,,,,
4823965,98,59,,,ocr,199006,,1/18/13 5:02,,,,,
4823966,93,99,,,ocr,199006,,1/18/13 5:02,,,,,
4823967,0,2.5,,,ocr,199006,,1/18/13 5:02,,,,,
4823968,5,5,,,ocr,199006,,1/18/13 5:02,,,,,
4823969,42,1.5,,,ocr,199006,,1/18/13 5:02,,,,,
4823970,27,99,,,ocr,199006,,1/18/13 5:02,,,,,
4823971,51,0,,,ocr,199006,,1/18/13 5:02,,,,,
4823972,39,80,,,ocr,199006,,1/18/13 5:02,,,,,
4823973,34,99,,,ocr,199006,,1/18/13 5:02,,,,,
4823974,9,80,,,ocr,199006,,1/18/13 5:02,,,,,
4823975,24,3,,,ocr,199006,,1/18/13 5:02,,,,,
4823976,22,83,,,ocr,199006,,1/18/13 5:02,,,,,
4823977,62,1,,,ocr,199006,,1/18/13 5:02,,,,,
4823978,68,2,,,ocr,199006,,1/18/13 5:02,,,,,
4823979,59,4,,,ocr,199006,,1/18/13 5:02,,,,,
4823980,80,3,,,ocr,199006,,1/18/13 5:02,,,,,
4823981,61,3,,,ocr,199006,,1/18/13 5:02,,,,,
4823982,1,2.2,,,ocr,199006,,1/18/13 5:02,,,,,
4823983,82,4,,,ocr,199006,,1/18/13 5:02,,,,,
4823984,27,1,,,ocr,199006,,1/18/13 5:02,,,,,
4823985,0,9,,,ocr,199006,,1/18/13 5:02,,,,,
4823986,78,3,,,ocr,199006,,1/18/13 5:02,,,,,
4823987,85,1,,,ocr,199006,,1/18/13 5:02,,,,,
4823988,62,0,,,ocr,199006,,1/18/13 5:02,,,,,
4823989,49,39,,,ocr,199006,,1/18/13 5:02,,,,,
4823990,12,1.04,,,ocr,199006,,1/18/13 5:02,,,,,
4823991,95,1,,,ocr,199006,,1/18/13 5:02,,,,,
4823992,96,59,,,ocr,199006,,1/18/13 5:02,,,,,
4823993,54,0,,,ocr,199006,,1/18/13 5:02,,,,,
4823994,38,1,,,ocr,199006,,1/18/13 5:02,,,,,
4823995,73,1,,,ocr,199006,,1/18/13 5:02,,,,,
4823996,69,1.5,,,ocr,199006,,1/18/13 5:02,,,,,
4823997,79,3,,,ocr,199006,,1/18/13 5:02,,,,,
4823998,61,8,,,ocr,199006,,1/18/13 5:02,,,,,
4823999,79,1,,,ocr,199006,,1/18/13 5:02,,,,,
4824000,13,9,,,ocr-old-exact,199006,2893256,1/18/13 5:02,,,,,
4824001,19,0,,,ocr,199006,,1/18/13 5:02,,,,,
4824002,32,5,,,ocr,199006,,1/18/13 5:02,,,,,
4824003,60,5,,,ocr,199006,,1/18/13 5:02,,,,,
4824004,77,80,,,ocr,199006,,1/18/13 5:02,,,,,
4824005,62,5,,,ocr,199006,,1/18/13 5:02,,,,,
4824006,53,3,,,ocr,199006,,1/18/13 5:02,,,,,
4824007,19,5,,,ocr,199006,,1/18/13 5:02,,,,,
4824008,10,5,,,ocr,199006,,1/18/13 5:02,,,,,
4824009,41,5,,,ocr,199006,,1/18/13 5:02,,,,,
4824010,20,5,,,ocr,199006,,1/18/13 5:02,,,,,
4824011,91,0,,,ocr,199006,,1/18/13 5:02,,,,,
4824012,97,63,,,ocr,199006,,1/18/13 5:02,,,,,
4824013,1,1,,,ocr,199006,,1/18/13 5:02,,,,,
4824014,1,,,,ocr,199006,,1/18/13 5:02,,,,,
4824015,92,1,,,ocr,199006,,1/18/13 5:02,,,,,
4824016,72,1.59,,,ocr,199006,,1/18/13 5:02,,,,,
4824017,19,0.25,,,ocr,199006,,1/18/13 5:02,,,,,
4824018,31,0,,,ocr,199006,,1/18/13 5:02,,,,,
4824019,16,119.71,,,ocr,199006,,1/18/13 5:02,,,,,
4824020,98,40,,,ocr,199006,,1/18/13 5:02,,,,,
4824021,92,41,,,ocr,199006,,1/18/13 5:02,,,,,
4824022,18,9,,,ocr,199006,,1/18/13 5:02,,,,,
4824023,99,100,,,ocr,199006,,1/18/13 5:02,,,,,
4824024,60,8,,,ocr,199006,,1/18/13 5:02,,,,,
4824025,18,218,,,ocr,199006,,1/18/13 5:02,,,,,
4824026,14,1,,,ocr,199006,,1/18/13 5:02,,,,,
4824027,24,0,,,ocr,199006,,1/18/13 5:02,,,,,
4824028,80,0,,,ocr,199006,,1/18/13 5:02,,,,,
4824029,22,10,,,ocr,199006,,1/18/13 5:02,,,,,
4824030,91,0,,,ocr,199006,,1/18/13 5:02,,,,,
4824031,72,31,,,ocr,199006,,1/18/13 5:02,,,,,
4824032,86,10,,,ocr,199006,,1/18/13 5:02,,,,,
4824033,15,0,,,ocr,199006,,1/18/13 5:02,,,,,
4824138,50,,,,turk,199006,60493,1/18/13 5:05,7/18/13 22:45,121891547,,,
8385319,12,750,,,ocr,321146,,2/9/13 18:49,,,,,
8385320,53,750,,,ocr,321146,,2/9/13 18:49,,,,,
8385321,3,750,,,ocr,321146,,2/9/13 18:49,,,,,
8755024,21,575,,,ocr,333346,,2/12/13 18:31,,,,,
8755025,92,5.99,,,ocr-exact,333346,117,2/12/13 18:31,,,,,
8755026,58,5.99,,,ocr-exact,333346,126,2/12/13 18:31,,,,,
8755027,45,5.99,,,ocr-exact,333346,179,2/12/13 18:31,,,,,
8755028,48,5.99,,,ocr-exact,333346,127,2/12/13 18:31,,,,,
8755029,40,3.37,,,ocr-exact,333346,128,2/12/13 18:31,,,,,
8755030,24,3.36,,,ocr-exact,333346,118,2/12/13 18:31,,,,,
8755031,18,3.37,,,ocr-exact,333346,118,2/12/13 18:31,,,,,
8755032,65,3.36,,,ocr-exact,333346,129,2/12/13 18:31,,,,,
8755033,3,3.37,,,ocr-exact,333346,180,2/12/13 18:31,,,,,
8755034,46,3.38,,,ocr-exact,333346,120,2/12/13 18:31,,,,,
8755035,100,4.12,,,ocr,333346,,2/12/13 18:31,,,,,
8755036,72,4.11,,,ocr-exact,333346,122,2/12/13 18:31,,,,,
8755037,41,4.12,,,ocr-exact,333346,123,2/12/13 18:31,,,,,
8755038,47,7.5,,,ocr-exact,333346,239,2/12/13 18:31,,,,,
8755039,54,3.75,,,ocr,333346,,2/12/13 18:31,,,,,
8755040,97,3.75,,,ocr,333346,,2/12/13 18:31,,,,,
8755041,3,6.99,,,ocr,333346,,2/12/13 18:31,,,,,
8755042,64,0,,,ocr,333346,,2/12/13 18:31,,,,,
8755043,58,4,,,ocr,333346,,2/12/13 18:31,,,,,
8755044,55,4,,,ocr-exact,333346,122,2/12/13 18:31,,,,,
8755045,12,2,,,ocr,333346,,2/12/13 18:31,,,,,
8755046,56,3,,,ocr-fuzz,333346,124,2/12/13 18:31,,,,,
8755047,85,3,,,ocr,333346,,2/12/13 18:31,,,,,
8755048,15,9.99,,,ocr,333346,,2/12/13 18:31,,,,,
8755049,95,0,,,ocr,333346,,2/12/13 18:31,,,,,
8755050,71,1,,,ocr,333346,,2/12/13 18:31,,,,,
8755051,5,4,,,ocr,333346,,2/12/13 18:31,,,,,
8759260,68,,,,turk,333346,10817,2/12/13 18:52,2/12/13 18:52,194703252,,,
8759261,91,,,,turk,333346,26944,2/12/13 18:52,2/12/13 18:52,182088435,,,
10831860,85,2.95,,,ocr-exact,406441,1432,3/5/13 16:50,,,,,
10831861,77,2.97,,,ocr-old-exact,406441,170614,3/5/13 16:50,,,,,
10831862,1,1.98,,,ocr-exact,406441,1054,3/5/13 16:50,,,,,
10831863,56,3.38,,,ocr,406441,,3/5/13 16:50,,,,,
10831864,25,3.84,,,ocr-exact,406441,14668,3/5/13 16:50,,,,,
10831865,87,3.84,,,ocr-exact,406441,28828,3/5/13 16:50,,,,,
10831866,89,5.47,,,ocr-exact,406441,4004,3/5/13 16:50,,,,,
10831867,64,2.78,,,ocr-old-exact,406441,153628,3/5/13 16:50,,,,,
10831868,48,0.97,,,ocr,406441,,3/5/13 16:50,,,,,
10831869,31,0.97,,,ocr,406441,,3/5/13 16:50,,,,,
10831870,27,3.97,,,ocr-old-exact,406441,161553,3/5/13 16:50,,,,,
10831871,21,2.5,,,ocr-exact,406441,38017,3/5/13 16:50,,,,,
10831872,39,3.78,,,ocr-exact,406441,29032,3/5/13 16:50,,,,,
10831873,77,2.78,,,ocr-exact,406441,1021,3/5/13 16:50,,,,,
10831874,95,,,,ocr-exact,406441,3652,3/5/13 16:50,,,,,
10834643,95,,,,turk,406441,4249,3/5/13 18:00,,,,,
15970499,64,,,,admin,406441,1368,4/11/13 22:02,4/11/13 22:02,874303,,,
18354825,40,4,,,ocr-fuzz,671045,25444,4/30/13 17:27,,,,,
18354826,98,0,,,ocr,671045,,4/30/13 17:27,,,,,
18354827,97,0,,,ocr,671045,,4/30/13 17:27,,,,,
18354828,88,90,,,ocr,671045,,4/30/13 17:27,,,,,
18354829,53,1.99,,,ocr,671045,,4/30/13 17:27,,,,,
18354830,64,2.37,,,ocr,671045,,4/30/13 17:27,,,,,
18354831,49,3.71,,,ocr,671045,,4/30/13 17:27,,,,,
18354832,88,5,,,ocr,671045,,4/30/13 17:27,,,,,
18354833,47,8,,,ocr,671045,,4/30/13 17:27,,,,,
18354834,20,3,,,ocr-fuzz,671045,117071,4/30/13 17:27,4/30/13 17:27,380914551,,,
18354835,38,5,,,ocr,671045,,4/30/13 17:27,,,,,
18354836,84,4.23,,,ocr,671045,,4/30/13 17:27,,,,,
18354837,63,39,,,ocr,671045,,4/30/13 17:27,,,,,
18354838,33,0.96,,,ocr,671045,,4/30/13 17:27,,,,,
18354839,58,1.75,,,ocr,671045,,4/30/13 17:27,,,,,
18354840,82,4.29,,,ocr,671045,,4/30/13 17:27,,,,,
18354841,87,6.59,,,ocr,671045,,4/30/13 17:27,,,,,
18354842,6,2.39,,,ocr-exact,671045,52243,4/30/13 17:27,,,,,
18354843,9,3.59,,,ocr,671045,,4/30/13 17:27,,,,,
18354844,16,1,,,ocr,671045,,4/30/13 17:27,,,,,
18354845,57,3.21,,,ocr,671045,,4/30/13 17:27,,,,,
18354846,11,6,,,ocr,671045,,4/30/13 17:27,,,,,
18354847,28,4,,,ocr,671045,,4/30/13 17:27,,,,,
18354848,19,14,,,ocr,671045,,4/30/13 17:27,,,,,
18354849,46,8,,,ocr,671045,,4/30/13 17:27,,,,,
18354850,26,2,,,ocr,671045,,4/30/13 17:27,,,,,
18354851,43,0,,,ocr,671045,,4/30/13 17:27,,,,,
18354852,2,0,,,ocr,671045,,4/30/13 17:27,,,,,
18354853,56,10,,,ocr,671045,,4/30/13 17:27,,,,,
18354854,36,0,,,ocr,671045,,4/30/13 17:27,,,,,
18354855,41,10,,,ocr,671045,,4/30/13 17:27,,,,,
18354856,42,0,,,ocr,671045,,4/30/13 17:27,,,,,
18354857,100,69,,,ocr,671045,,4/30/13 17:27,,,,,
18354858,46,101,,,ocr,671045,,4/30/13 17:27,,,,,
18354859,36,5,,,ocr,671045,,4/30/13 17:27,,,,,
18354860,5,0,,,ocr,671045,,4/30/13 17:27,,,,,
18354861,7,0,,,ocr,671045,,4/30/13 17:27,,,,,
18357638,1,,,,turk,671045,121270,4/30/13 17:45,4/30/13 17:45,392560774,,,
18358103,99,,,,admin,671045,122177,4/30/13 17:48,4/30/13 17:48,345250300,,,
19612447,36,,,,ocr,714324,,5/11/13 19:23,,,,,
19612448,12,,,,ocr,714324,,5/11/13 19:23,,,,,
19612449,50,,,,ocr,714324,,5/11/13 19:23,,,,,
19612450,67,2.99,,,ocr-fuzz,714324,126898,5/11/13 19:23,,,,,
19612451,56,,,,ocr-fuzz,714324,125858,5/11/13 19:23,,,,,
19612452,41,2.99,,,ocr,714324,,5/11/13 19:23,,,,,
19612453,7,2.54,,,ocr-exact,714324,102915,5/11/13 19:23,5/11/13 19:23,397409401,,,
19612454,7,3.99,,,ocr-exact,714324,126980,5/11/13 19:23,5/11/13 19:23,408563209,,,
19612455,61,2,,,ocr-exact,714324,975,5/11/13 19:23,,,,,
19612456,25,1,,,ocr-exact,714324,977,5/11/13 19:23,,,,,
19612457,47,1,,,ocr-exact,714324,976,5/11/13 19:23,,,,,
19612458,36,9.99,,,ocr,714324,,5/11/13 19:23,,,,,
19612459,29,10,,,ocr-old-exact,714324,2797840,5/11/13 19:23,,,,,
19612460,63,15.99,,,ocr-exact,714324,822,5/11/13 19:23,,,,,
19612461,60,2.94,,,ocr-fuzz,714324,793,5/11/13 19:23,,,,,
23957768,15,0,,,ocr,873711,,6/13/13 23:34,,,,,
23957769,83,0,,,ocr,873711,,6/13/13 23:34,,,,,
23957770,86,99,,,ocr,873711,,6/13/13 23:34,,,,,
23957771,52,2,,,ocr,873711,,6/13/13 23:34,,,,,
23957772,1,3,,,ocr,873711,,6/13/13 23:34,,,,,
23957773,62,3.28,,,ocr-exact,873711,111328,6/13/13 23:34,6/13/13 23:34,517653761,,,
23957774,5,1.67,,,ocr,873711,,6/13/13 23:34,,,,,
23957775,63,1.97,,,ocr,873711,,6/13/13 23:34,,,,,
23957776,75,5.99,,,ocr,873711,,6/13/13 23:34,,,,,
23957777,21,2.99,,,ocr-fuzz,873711,49411,6/13/13 23:34,6/13/13 23:34,517653762,,,
23957778,32,4.59,,,ocr,873711,,6/13/13 23:34,,,,,
23957779,31,3.99,,,ocr,873711,,6/13/13 23:34,,,,,
23957780,61,3.99,,,ocr,873711,,6/13/13 23:34,,,,,
23957781,8,3.59,,,ocr,873711,,6/13/13 23:34,,,,,
23957782,87,2.59,,,ocr-fuzz,873711,128048,6/13/13 23:34,6/13/13 23:34,502347070,,,
23957783,34,9,,,ocr,873711,,6/13/13 23:34,,,,,
23957784,54,46.33,,,ocr-fuzz,873711,24959,6/13/13 23:34,,,,,
23957785,29,0,,,ocr,873711,,6/13/13 23:34,,,,,
23957786,28,13,,,ocr,873711,,6/13/13 23:34,,,,,
23962388,20,,,,turk,873711,117363,6/13/13 23:52,6/13/13 23:52,502347071,,,
23962389,50,,,,turk,873711,17533,6/13/13 23:52,6/13/13 23:52,518160389,,,
26511153,48,0,,,ocr,958327,,6/27/13 18:07,,,,,
26511154,45,57,,,ocr,958327,,6/27/13 18:07,,,,,
26511155,60,5,,,ocr,958327,,6/27/13 18:07,,,,,
26511156,86,1.5,,,ocr,958327,,6/27/13 18:07,,,,,
26511157,8,5,,,ocr,958327,,6/27/13 18:07,,,,,
26511158,19,1,,,ocr,958327,,6/27/13 18:07,,,,,
26511159,91,2.2,,,ocr-fuzz,958327,125343,6/27/13 18:07,,,,,
26511160,40,99,,,ocr,958327,,6/27/13 18:07,,,,,
26511161,79,5.69,,,ocr,958327,,6/27/13 18:07,,,,,
26511162,2,3,,,ocr,958327,,6/27/13 18:07,,,,,
26511163,27,1,,,ocr,958327,,6/27/13 18:07,,,,,
26511164,90,1,,,ocr,958327,,6/27/13 18:07,,,,,
26511165,66,1,,,ocr,958327,,6/27/13 18:07,,,,,
26511166,2,2.79,,,ocr,958327,,6/27/13 18:07,,,,,
26511167,59,5.98,,,ocr,958327,,6/27/13 18:07,,,,,
26511168,55,1.49,,,ocr,958327,,6/27/13 18:07,,,,,
26511169,46,1.49,,,ocr,958327,,6/27/13 18:07,,,,,
26511170,63,1,,,ocr,958327,,6/27/13 18:07,,,,,
26511171,53,1,,,ocr,958327,,6/27/13 18:07,,,,,
26511172,95,1,,,ocr,958327,,6/27/13 18:07,,,,,
26511173,91,1.49,,,ocr,958327,,6/27/13 18:07,,,,,
26511174,11,1,,,ocr,958327,,6/27/13 18:07,,,,,
26511175,70,2.66,,,ocr,958327,,6/27/13 18:07,,,,,
26511176,62,0,,,ocr,958327,,6/27/13 18:07,,,,,
40065234,43,0,,,ocr,1521609,,9/8/13 3:48,,,,,
40065235,54,0,,,ocr,1521609,,9/8/13 3:48,,,,,
40065236,100,90,,,ocr,1521609,,9/8/13 3:48,,,,,
40065237,30,11.99,,,ocr,1521609,,9/8/13 3:48,,,,,
40065238,84,5,,,ocr,1521609,,9/8/13 3:48,,,,,
40065239,33,3,,,ocr,1521609,,9/8/13 3:48,,,,,
40065240,67,3,,,ocr,1521609,,9/8/13 3:48,,,,,
40065241,4,5,,,ocr,1521609,,9/8/13 3:48,,,,,
40065242,28,5,,,ocr-fuzz,1521609,128048,9/8/13 3:48,,,,,
40065243,16,5,,,ocr,1521609,,9/8/13 3:48,,,,,
40065244,66,5,,,ocr,1521609,,9/8/13 3:48,,,,,
40065245,5,79,,,ocr,1521609,,9/8/13 3:48,,,,,
40065246,11,99,,,ocr,1521609,,9/8/13 3:48,,,,,
40065247,77,99,,,ocr,1521609,,9/8/13 3:48,,,,,
40065248,54,59,,,ocr-fuzz,1521609,128048,9/8/13 3:48,,,,,
40065249,98,59,,,ocr-fuzz,1521609,128048,9/8/13 3:48,,,,,
40065250,86,59,,,ocr,1521609,,9/8/13 3:48,,,,,
40065251,49,49,,,ocr,1521609,,9/8/13 3:48,,,,,
40065252,5,19,,,ocr,1521609,,9/8/13 3:48,,,,,
40065253,88,1,,,ocr,1521609,,9/8/13 3:48,,,,,
40065254,14,1.69,,,ocr,1521609,,9/8/13 3:48,,,,,
40065255,65,2.99,,,ocr,1521609,,9/8/13 3:48,,,,,
40065256,74,1.36,,,ocr,1521609,,9/8/13 3:48,,,,,
40065257,8,2.99,,,ocr,1521609,,9/8/13 3:48,,,,,
40065258,10,1.69,,,ocr,1521609,,9/8/13 3:48,,,,,
40065259,79,6.19,,,ocr,1521609,,9/8/13 3:48,,,,,
40065260,62,121.32,,,ocr-fuzz,1521609,24959,9/8/13 3:48,,,,,
40065261,38,0,,,ocr,1521609,,9/8/13 3:48,,,,,
40065262,65,1,,,ocr,1521609,,9/8/13 3:48,,,,,
40065263,84,10.62,,,ocr,1521609,,9/8/13 3:48,,,,,
40197187,88,,,,admin,1521609,289820,9/8/13 21:09,9/8/13 21:09,692674839,,,
47873677,33,6.99,,,ocr-exact,1927574,337529,10/18/13 18:33,10/18/13 18:33,1066188149,,,
47873678,19,5.39,,,ocr,1927574,,10/18/13 18:33,,,,,
47876296,51,,,,ocr,1927689,,10/18/13 18:54,,,,,
47877454,30,,,,turk,1927689,350214,10/18/13 19:06,10/18/13 19:06,698929406,,,
49692068,52,,,,ocr,2046635,,10/29/13 1:29,,,,,
49692069,71,,,,ocr,2046635,,10/29/13 1:29,,,,,
49692070,34,,,,ocr-exact,2046635,391204,10/29/13 1:29,10/29/13 1:29,1114605428,,,
49692071,47,,,,ocr,2046635,,10/29/13 1:29,,,,,
49692072,3,,,,ocr-fuzz,2046635,149822,10/29/13 1:29,,,,,
49692073,62,,,,ocr-old-exact,2046635,543640,10/29/13 1:29,,,,,
49692074,29,,,,ocr-exact,2046635,111675,10/29/13 1:29,10/29/13 1:29,695753300,,,
49692075,68,,,,ocr-exact,2046635,254950,10/29/13 1:29,10/29/13 1:29,695753301,,,
49692076,3,,,,ocr-exact,2046635,126980,10/29/13 1:29,,,,,
49692077,91,,,,ocr-exact,2046635,121796,10/29/13 1:29,,,,,
49692078,84,,,,ocr-exact,2046635,147709,10/29/13 1:29,10/29/13 1:29,540216729,,,
49692079,56,,,,ocr,2046635,,10/29/13 1:29,,,,,
49692080,26,,,,ocr-fuzz,2046635,7603,10/29/13 1:29,,,,,
49692081,95,,,,ocr-exact,2046635,975,10/29/13 1:29,,,,,
49692082,29,,,,ocr-exact,2046635,243578,10/29/13 1:29,,,,,
49692083,70,,,,ocr-exact,2046635,339574,10/29/13 1:29,10/29/13 1:29,1114605422,,,
49692084,69,,,,ocr-exact,2046635,243580,10/29/13 1:29,,,,,
49692085,23,,,,ocr-exact,2046635,243581,10/29/13 1:29,,,,,
49692086,87,,,,ocr-fuzz,2046635,93687,10/29/13 1:29,,,,,
49692087,14,,,,ocr-fuzz,2046635,149861,10/29/13 1:29,,,,,
49692088,90,,,,ocr-exact,2046635,200780,10/29/13 1:29,10/29/13 1:29,662092681,,,
50400454,58,0,,,ocr,2099520,,11/2/13 18:34,,,,,
50400455,32,0,,,ocr,2099520,,11/2/13 18:34,,,,,
50400456,53,90,,,ocr,2099520,,11/2/13 18:34,,,,,
50400457,5,5,,,ocr,2099520,,11/2/13 18:34,,,,,
50400458,96,3,,,ocr-fuzz,2099520,384549,11/2/13 18:34,11/2/13 18:34,1114596613,,,
50400459,39,0,,,ocr,2099520,,11/2/13 18:34,,,,,
50400460,20,0,,,ocr,2099520,,11/2/13 18:34,,,,,
50400461,70,50.54,,,ocr,2099520,,11/2/13 18:34,,,,,
